Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Organism ID	Gene ontology (molecular function)	Gene ontology (cellular component)	Gene ontology (biological process)
A0A0F0E143	A0A0F0E143_9BURK	unreviewed	Phosphate-binding protein PstS	UB44_07405	Burkholderiaceae bacterium 26	344	1619951	phosphate ion binding [GO:0042301]	ATP-binding cassette (ABC) transporter complex [GO:0043190]	phosphate ion transmembrane transport [GO:0035435]
A0A0F0E266	A0A0F0E266_9BURK	unreviewed	Phasin (PHA-granule associated protein)	UB44_05700	Burkholderiaceae bacterium 26	193	1619951			
A0A0F0E2L8	A0A0F0E2L8_9BURK	unreviewed	Elongation factor Tu (EC 3.6.5.3) (Fragment)	tuf UB44_05895	Burkholderiaceae bacterium 26	151	1619951	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746]		
A0A0F0E2Y5	A0A0F0E2Y5_9BURK	unreviewed	Branched-chain amino acid ABC transporter substrate-binding protein	UB44_04800	Burkholderiaceae bacterium 26	401	1619951			amino acid transport [GO:0006865]
A0A0F0E3S2	A0A0F0E3S2_9BURK	unreviewed	Membrane protein	UB44_06340	Burkholderiaceae bacterium 26	368	1619951	porin activity [GO:0015288]	cell outer membrane [GO:0009279]	ion transmembrane transport [GO:0034220]
A0A0S3PP61	A0A0S3PP61_9BRAD	unreviewed	LysM domain/BON superfamily protein	GJW-30_1_00167	Variibacter gotjawalensis	148	1333996			
A0A0S3PQ53	A0A0S3PQ53_9BRAD	unreviewed	Phosphate-binding protein PstS	pstS GJW-30_1_00601	Variibacter gotjawalensis	337	1333996	phosphate ion binding [GO:0042301]	ATP-binding cassette (ABC) transporter complex [GO:0043190]	phosphate ion transmembrane transport [GO:0035435]
A0A0S3PQV6	A0A0S3PQV6_9BRAD	unreviewed	Acetoacetyl-CoA reductase (EC 1.1.1.36)	phbB GJW-30_1_00835	Variibacter gotjawalensis	241	1333996	acetoacetyl-CoA reductase activity [GO:0018454]	cytoplasm [GO:0005737]	poly-hydroxybutyrate biosynthetic process [GO:0042619]
A0A0S3PRX2	A0A0S3PRX2_9BRAD	unreviewed	Malate dehydrogenase (EC 1.1.1.37)	mdh GJW-30_1_01225	Variibacter gotjawalensis	321	1333996	L-malate dehydrogenase activity [GO:0030060]		carbohydrate metabolic process [GO:0005975]; carboxylic acid metabolic process [GO:0019752]; tricarboxylic acid cycle [GO:0006099]
A0A0S3PSC8	A0A0S3PSC8_9BRAD	unreviewed	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)	hisD GJW-30_1_01347	Variibacter gotjawalensis	430	1333996	histidinol dehydrogenase activity [GO:0004399]; NAD binding [GO:0051287]; zinc ion binding [GO:0008270]		histidine biosynthetic process [GO:0000105]
A0A0S3PWE9	A0A0S3PWE9_9BRAD	unreviewed	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)	gatA_5 gatA GJW-30_1_02799	Variibacter gotjawalensis	504	1333996	amidase activity [GO:0004040]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; transferase activity [GO:0016740]	glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]	translation [GO:0006412]
A0A1S9G833	A0A1S9G833_9RHIZ	unreviewed	ABC transporter ATP-binding protein	BS630_34895	Rhizobium laguerreae	257	1076926	ATPase activity [GO:0016887]; ATPase-coupled amino acid transmembrane transporter activity [GO:0015424]; ATP binding [GO:0005524]		
A0A0S3PYG7	A0A0S3PYG7_9BRAD	unreviewed	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	fabD GJW-30_1_03525	Variibacter gotjawalensis	314	1333996	[acyl-carrier-protein] S-malonyltransferase activity [GO:0004314]		
A0A151FME1	A0A151FME1_9BRAD	unreviewed	ABC transporter permease	A1D31_09255	Bradyrhizobium liaoningense	329	43992	ATPase-coupled sulfate transmembrane transporter activity [GO:0015419]; sulfur compound binding [GO:1901681]		
A0A151FQ61	A0A151FQ61_9BRAD	unreviewed	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2)	A1D31_07825	Bradyrhizobium liaoningense	414	43992	dihydrolipoyllysine-residue succinyltransferase activity [GO:0004149]	oxoglutarate dehydrogenase complex [GO:0045252]	L-lysine catabolic process to acetyl-CoA via saccharopine [GO:0033512]; tricarboxylic acid cycle [GO:0006099]
A0A151FVL0	A0A151FVL0_9BRAD	unreviewed	ABC transporter substrate-binding protein	A1D31_03660	Bradyrhizobium liaoningense	580	43992	transmembrane transporter activity [GO:0022857]		
A0A151FY53	A0A151FY53_9BRAD	unreviewed	Methionine ABC transporter substrate-binding protein	A1D31_23345	Bradyrhizobium liaoningense	260	43992			
